Индекс	Имя кнопки	Тип кнопки	Текст	Подсказка	Пояснение	Отображение	Картинка			
0	Подменю	Подменю	Действия	Действия	Действия в текущем режиме	Авто				
1	Разделитель	Разделитель								
2	Действие	Действие	&Добавить	Добавить	Добавить новый элемент	Авто	ДобавитьЭлементСписка		-	
3	Действие1	Действие	Новая группа	Добавить группу	Добавить новую группу	Авто	НоваяГруппа		-	
4	Действие2	Действие	&Скопировать	Добавить копированием	Добавить новый элемент копированием текущего	Авто	СкопироватьЭлементСписка		-	
5	Действие3	Действие	&Изменить	Изменить текущий элемент	Изменить (или открыть) текущий элемент	Авто	ИзменитьЭлементСписка		-	
6	Действие4	Действие	Установить пометку удаления	Установить пометку удаления	Установить пометку удаления	Авто	УстановитьПометкуУдаленияЭлементаСписка		-	
7	Разделитель1	Разделитель							-	
9	Действие6	Действие	Иерархический просмотр	Иерархический просмотр	Просмотр списка в иерархии (по отдельным группам)	Авто	ИерархическийПросмотр		-	
10	Действие7	Действие	Переместить в группу	Переместить элемент в другую группу	Переместить элемент в другую группу	Авто	ПеренестиЭлемент		-	
11	Разделитель2	Разделитель							-	
12	Действие8	Действие	Установить отбор и сортировку списка...	Отбор и сортировка	Установить отбор и сортировку списка	Авто	ОтборИСортировка			
13	Действие9	Действие	Отбор по значению в текущей колонке	Отбор по значению в текущей колонке	Отбор по значению в текущей колонке	Авто	ОтборПоТекущемуЗначению			
14	Подменю1	Подменю	История отборов	История отборов	История отборов	Авто	ИсторияОтборов			
15	Действие10	Действие	Отключить отбор	Отключить отбор	Отключить отбор	Авто	ОтключитьОтбор			
16	Разделитель3	Разделитель								
17	Действие11	Действие	Обновить	Обновить текущий список	Обновить текущий список	Авто	Обновить			
18	Разделитель4	Разделитель								-
19	Действие12	Действие	Справка	Открыть справку	Открыть справку	Авто	Справка			-
0	Действие	Действие	&Добавить	Добавить	Добавить новый элемент	Авто	ДобавитьЭлементСписка			
1	Действие1	Действие	&Скопировать	Добавить копированием	Добавить новый элемент копированием текущего	Авто	СкопироватьЭлементСписка			
2	Действие2	Действие	&Изменить	Изменить текущий элемент	Изменить (или открыть) текущий элемент	Авто	ИзменитьЭлементСписка			
3	Действие3	Действие	Установить пометку удаления	Установить пометку удаления	Установить пометку удаления	Авто	УстановитьПометкуУдаленияЭлементаСписка			
4	Действие4	Действие	Закончить редактирование	Закончить редактирование строки	Закончить редактирование строки	Авто	ЗакончитьРедактирование			
5	Действие5	Действие	&Переместить вверх	Переместить вверх	Переместить текущий элемент вверх	Авто	ПереместитьВверх			
6	Действие6	Действие	&Переместить вниз	Переместить вниз	Переместить текущий элемент вниз	Авто	ПереместитьВниз			
7	Действие7	Действие	Сортировать по возрастанию	Упорядочить по возрастанию	Упорядочить список по возрастанию	Авто	СортироватьСписокПоВозрастанию			
8	Действие8	Действие	Сортировать по убыванию	Упорядочить по убыванию	Упорядочить список по убыванию	Авто	СортироватьСписокПоУбыванию			
0	Подменю	Подменю	Действия	Действия	Действия в текущем режиме	Авто				
1	Разделитель	Разделитель								
2	Действие	Действие	Найти в списке	Найти в списке	Найти в списке	Авто	НайтиВСписке			
3	Разделитель1	Разделитель								
4	Действие1	Действие	Перечитать	Перечитать данные объекта	Перечитать данные объекта	Авто	Перечитать			
5	Действие2	Действие	Скопировать	Создать новый копированием	Создать новый копированием	Авто	СкопироватьОбъект			
6	Разделитель2	Разделитель								
7	Действие3	Действие	Справка	Открыть справку	Открыть справку	Авто	Справка			
