.0	Модуль приложения	МОД	42	МодульПриложения
.1	Логотип	К	101	Логотип
.2	Заставка	К	101	Заставка
.3	Справка	С	100	Справка
.4	Возможность изменения объектов, находящихся на поддержке	ПП	99	Поддержка
.5	Модуль внешнего соединения	МОД	42	МодульВнешнегоСоединения
.6	Модуль управляемого приложения	МОД	42	МодульУправляемогоПриложения
.7	Модуль  сеанса пользователя	МОД	42	МодульСеансаПользователя
.8	Рабочая область рабочего стола	РО	99	РабочаяОбластьРС
.9	Объекты подсистем на поддержке	ПП	99	ПоддержкаПодсистем
.a	Командный интерфейс конфигурации	КИ	0	КомандныйИнтерфейсКонфигурации
.b	Интерфейс клиентского приложения	КП	0	ИнтерфейсКлиентскогоПриложения
.c	Картинка основного раздела	К	101	КартинкаОсновногоРаздела
.0	Картинка	К	101	Картинка
.0	Макет	М	53	Макет
.0	Форма	Ф	115	Форма
.1	Справка	С	100	Справка
.0	Права	Р	99	Права
.0	Расписание	РС	102	Расписание
.0	Интерфейс	И		Интерфейс
.0	Текст пакета	XML		ТекстПакета
.0	Состав стиля	ССВ		СоставСтиля
.0	Справка	С	100	Справка
.1	Состав	ССВ	99	Состав
.2	Модуль объекта	МОД	42	МодульОбъекта
.3	Модуль менеджера	МОД	42	Менеджер
.5	Справка	С	100	Справка
.7	Предопределенные	П	99	Предопределенные
.15	Модуль объекта	МОД	42	МодульОбъекта
.16	Модуль менеджера	МОД	42	Менеджер
.0	Модуль объекта	МОД	42	Объект
.1	Справка	С	100	Справка
.1c	Предопределенные	П	99	Предопределенные
.3	Модуль менеджера	МОД	42	Менеджер
.0	Модуль объекта	МОД	42	МодульОбъекта
.1	Справка	С	100	Справка
.2	Модуль менеджера	МОД	42	Менеджер
.0	Модуль объекта	МОД	42	МодульОбъекта
.1	Справка	С	100	Справка
.2	Предопределенные	П	99	Предопределенные
.3	Модуль менеджера	МОД	42	Менеджер
.5	Справка	С	100	Справка
.9	Предопределенные	П	99	Предопределенные
.14	Модуль объекта	МОД	42	МодульОбъекта
.15	Модуль менеджера	МОД	42	Менеджер
.0	Форма	Ф	115	Форма
.1	Справка	С	100	Справка
.0	Макет	М	53	Макет
.0	Справка	С	100	Справка
.1	Командный интерфейс	КИП	99	КомандныйИнтерфейс
.5	Справка	С	100	Справка
.6	Модуль объекта	МОД	42	МодульОбъекта
.7	Модуль менеджера	МОД	42	Менеджер
.5	Справка	С	100	Справка
.6	Модуль объекта	МОД	42	МодульОбъекта
.7	Карта маршрута	КМ	113	КартаМаршрута
.8	Модуль менеджера	МОД	42	Менеджер
.5	Справка	С	100	Справка
.6	Модуль набора записей	МОД	42	МодульНабораЗаписей
.7	Модуль менеджера	МОД	42	Менеджер
.8	Модуль менеджера	МОД	42	Менеджер
.1	Справка	С	100	Справка
.2	Модуль команды	МОД	42	МодульКоманды
.2	Модуль команды	МОД	42	МодульКоманды
.0	Справка	С	100	Справка
.1	Модуль набора записей	МОД	42	МодульНабораЗаписей
.2	Модуль менеджера	МОД	42	Менеджер
.0	Справка	С	100	Справка
.1	Модуль набора записей	МОД	42	МодульНабораЗаписей
.2	Модуль менеджера	МОД	42	Менеджер
.3	Агрегат	АГР	114	Агрегат
.0	Справка	С	100	Справка
.1	Модуль набора записей	МОД	42	МодульНабораЗаписей
.2	Модуль менеджера	МОД	42	Менеджер
.0	Справка	С	100	Справка
.1	Модуль менеджера	МОД	42	Менеджер
.2	Модуль менеджера	МОД	42	Менеджер
