Код	Действие	Текст	Подсказка	Пояснение	Картинка	РодительТекст	РодительКартинка	
6	Новая группа	Новая группа	Добавить группу	Добавить новую группу	НоваяГруппа			
7	Найти в дереве	Найти в дереве	Найти местоположение текущей строки в дереве	Найти местоположение текущей строки в дереве	НайтиВДереве			
8	Переместить в группу	Переместить в группу	Переместить элемент в другую группу	Переместить элемент в другую группу	ПеренестиЭлемент			
9	Иерархический просмотр	Иерархический просмотр	Иерархический просмотр	Просмотр списка в иерархии (по отдельным группам)	ИерархическийПросмотр			
11	Просмотр по владельцу	Просмотр по владельцу	Просмотр по владельцу	Просмотр списка по одному элементу справочника-владельца	ПросмотрПоВладельцу			
12	(Подчиненные справочники)					Перейти		
20	Установить интервал дат...	Установить интервал дат...	Установить интервал дат	Установить интервал дат для просмотра	УстановитьИнтервал			
21	Поиск по номеру...	Поиск по номеру...	Поиск по номеру	Поиск по номеру документа	НайтиПоНомеру			
23	(Связанные регистры сведений)					Перейти		
24	Провести	Провести	Провести	Провести	Провести			
27	(Отбор по виду)					Отбор по виду	ОтборПоВиду	
29	Отмена проведения	Отмена проведения	Отмена проведения	Отмена проведения	ОтменаПроведения			
31	(Установить время)					Установить время	УстановитьВремя	
38	Установить пометку удаления	Установить пометку удаления	Установить пометку удаления	Установить пометку удаления	УстановитьПометкуУдаленияЭлементаСписка			
40	(Ввести на основании)					На основании	ВводНаОсновании	
42	(Связанные критерии отбора)					Перейти		
44	(Список движений)					Перейти		
47	Все документы	Все документы	Отбор по всем видам документов	Отбор по всем видам документов		Отбор по виду	ОтборПоВиду	
53	Установить отбор и сортировку списка...	Установить отбор и сортировку списка...	Отбор и сортировка	Установить отбор и сортировку списка	ОтборИСортировка			
58	Редактировать в диалоге	Редактировать в диалоге	Редактировать в диалоге	Редактировать в диалоге	РедактироватьВДиалоге			
65	(Поля сортировки)					Сортировка	Сортировка	
71	(История отборов)					История отборов	ИсторияОтборов	
72	(Список отборов)					История отборов	ИсторияОтборов	
80	Добавить	&Добавить	Добавить	Добавить новый элемент	ДобавитьЭлементСписка			
82	Скопировать	&Скопировать	Добавить копированием	Добавить новый элемент копированием текущего	СкопироватьЭлементСписка			
83	Удалить	&Удалить	Удалить текущий	Удалить текущий элемент	УдалитьЭлементСписка			
84	Изменить	&Изменить	Изменить текущий элемент	Изменить (или открыть) текущий элемент	ИзменитьЭлементСписка			
85	Переместить вверх	&Переместить вверх	Переместить вверх	Переместить текущий элемент вверх	ПереместитьВверх			
86	Переместить вниз	&Переместить вниз	Переместить вниз	Переместить текущий элемент вниз	ПереместитьВниз			
88	Сортировать по возрастанию	Сортировать по возрастанию	Упорядочить по возрастанию	Упорядочить список по возрастанию	СортироватьСписокПоВозрастанию			
89	Сортировать по убыванию	Сортировать по убыванию	Упорядочить по убыванию	Упорядочить список по убыванию	СортироватьСписокПоУбыванию			
90	Обновить	Обновить	Обновить текущий список	Обновить текущий список	Обновить			
91	Отбор по значению в текущей колонке	Отбор по значению в текущей колонке	Отбор по значению в текущей колонке	Отбор по значению в текущей колонке	ОтборПоТекущемуЗначению			
93	Отключить отбор	Отключить отбор	Отключить отбор	Отключить отбор	ОтключитьОтбор			
94	Закончить редактирование	Закончить редактирование	Закончить редактирование строки	Закончить редактирование строки	ЗакончитьРедактирование			
95	Выбрать	Выбрать	Выбрать значение	Выбрать значение	ВыбратьИзСписка			
97	Настройка списка...	Настройка списка...	Настройка списка	Настройка списка	НастройкаСписка			
99	Вывести список...	Вывести список...	Вывести список	Вывести список	ВывестиСписок			
107	Уровень вниз	Уровень вниз	Перейти на уровень вниз	Уровень вниз	УровеньВниз			
108	Уровень вверх	Уровень вверх	Перейти на уровень вверх	Уровень вверх	УровеньВверх			
109	Текущий элемент структуры настроек	Текущий элемент	Текущий элемент структуры настроек	Текущий элемент структуры настроек				
110	Текущий отчет	Текущий отчет	Текущий отчет	Текущий отчет				
140	Записать	Записать	Записать объект	Записать объект	Записать			
141	Записать и закрыть	Записать и закрыть	Записать объект и закрыть форму	Записать объект и закрыть форму	ЗаписатьИЗакрыть			
142	Закрыть	Закрыть	Закрыть	Закрыть	Закрыть			
143	Сохранить значения...	Сохранить значения...	Сохранить значения	Сохранить набор сохраняемых формой значений	СохранитьЗначения			
144	Восстановить значения...	Восстановить значения...	Восстановить значения	Восстановить набор сохраняемых формой значений	ВосстановитьЗначения			
145	Скопировать	Скопировать	Создать новый копированием	Создать новый копированием	СкопироватьОбъект			
146	Перечитать	Перечитать	Перечитать данные объекта	Перечитать данные объекта	Перечитать			
147	Найти в списке	Найти в списке	Найти в списке	Найти в списке	НайтиВСписке			
300	Справка	Справка	Открыть справку	Открыть справку	Справка			
								
