	Наименование			Идентификатор	Вид метаданных	Синоним	Индекс картинки	ИндексКартинки2	Значения	Графы	Измерения	Ресурсы	Реквизиты адресации	Реквизиты	Признак учета	Признак учета субконто	Табличные части	Перерасчеты	Формы	Команды	Макеты	8.0	8.1	8.2
Модули задачи					МодульЗадачи	Модули задачи	0															+	+	+
Общие							9															+	+	+
	Подсистемы			37f2fa9a-b276-11d4-9435-004095e12fc7	Подсистема	Подсистемы	2	44														+	+	+
	Общие модули			0fe48980-252d-11d6-a3c7-0050bae0a776	ОбщийМодуль	Общие модули	1	45														+	+	+
	Параметры сеанса			24c43748-c938-45d0-8d14-01424a72b11e	ПараметрСеанса	Параметры сеанса	10	46														+	+	+
	Роли			09736b02-9cac-4e3f-b4f7-d3e9576ab948	Роль	Роли	4	11														+	+	+
	Общие реквизиты			15794563-ccec-41f6-a83c-ec5f7b9a5bc1	ОбщийРеквизит	Общие реквизиты	77	80														-	-	+
	Планы обмена			857c4a91-e5f4-4fac-86ec-787626f1c108	ПланОбмена	Планы обмена	12	47						1a1b4fea-e093-470d-94ff-1d2f16cda2ab			52293f4b-f98c-43ea-a80f-41047ae7ab58		87c509ab-3d38-4d67-b379-aca796298578	d5207c64-11d5-4d46-bba2-55b7b07ff4eb	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
	Критерии отбора			3e7bfcc0-067d-11d6-a3c7-0050bae0a776	КритерийОтбора	Критерии отбора	13	48											00867c40-06b1-11d6-a3c7-0050bae0a776	23fa3b84-220a-40e9-8331-e588bed87f7d		+	+	+
	Подписки на события			4e828da6-0f44-4b5b-b1c0-a2b3cfe7bdcc	ПодпискаНаСобытия	Подписки на события	14	49														-	+	+
	Регламентные задания			11bdaf85-d5ad-4d91-bb24-aa0eee139052	РегламентноеЗадание	Регламентные задания	15	50														-	+	+
	Функциональные опции			af547940-3268-434f-a3e7-e47d6d2638c3	ФункциональнаяОпция	Функциональные опции	103	108														-	-	+
	Параметры функциональных опций			30d554db-541e-4f62-8970-a1c6dcfeb2bc	ПараметрФункциональныхОпций	Параметры функциональных опций	104	109														-	-	+
	Определяемые типы			c045099e-13b9-4fb6-9d50-fca00202971e	ОпределяемыйТип	Определяемые типы	118	119														-	-	+
	Хранилища настроек			46b4cd97-fd13-4eaa-aba2-3bddd7699218	ХранилищеНастроек	Хранилища настроек	105	110											b8533c0c-2342-4db3-91a2-c2b08cbf6b23		3daea016-69b7-4ed4-9453-127911372fe6	-	-	+
